ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3702024,25-02-2018,17:00,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
3702042,25-02-2018,21:00,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,1,1,0,0
3702050,25-02-2018,12:50,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3702062,25-02-2018,22:00,Veicolo in marcia contro veicolo fermo,,Pioggia in atto,Buona,2,0,0,0
3702081,25-02-2018,21:30,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,0,2,0,0
3702094,25-02-2018,20:15,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3702138,23-02-2018,20:30,Investimento di pedone,,Pioggia in atto,Buona,1,0,1,0
3702155,24-02-2018,07:40,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,1,0,0,0
3702160,23-02-2018,21:45,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,5,0,0,0
3702164,25-02-2018,04:30,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,1,0,0,0
3702167,24-02-2018,07:20,Fuoriuscita dalla sede stradale,,Pioggia in atto,Buona,1,0,0,0
3702169,25-02-2018,10:00,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3702178,25-02-2018,10:00,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Sufficiente,3,0,0,0
3702180,24-02-2018,09:40,Fuoriuscita dalla sede stradale,,Pioggia in atto,Buona,1,0,0,0
3702182,25-02-2018,09:20,Scontro laterale fra veicoli in marcia,,,,2,0,0,0
3702184,23-02-2018,22:50,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,2,0,0,0
3702185,25-02-2018,17:00,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,1,0,0,0
3702186,24-02-2018,14:10,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,1,0,0,0
3702190,25-02-2018,12:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3702192,25-02-2018,13:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,3,0,0
3702196,24-02-2018,14:11,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,1,0,0,0
3702203,24-02-2018,01:35,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Sufficiente,1,1,0,0
3702207,24-02-2018,14:09,Fuoriuscita dalla sede stradale,,Pioggia in atto,Buona,2,0,0,0
3702209,25-02-2018,10:00,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3702213,24-02-2018,18:35,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,2,0,0,0
