ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3804815,Roma,02-05-2018,11:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3804821,Roma,02-05-2018,17:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,4,0,0,0
3804825,Roma,02-05-2018,12:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3804834,Roma,02-05-2018,09:45,Tamponamento Multiplo,,Nuvoloso,Buona,3,0,0,0
3804835,Roma,02-05-2018,14:50,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3804843,Roma,02-05-2018,19:55,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,3,1,0,0
3804852,Roma,03-05-2018,07:30,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,2,0,0,0
3804864,Roma,02-05-2018,22:10,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3804877,Roma,03-05-2018,07:05,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3804887,Roma,02-05-2018,08:25,Veicolo in marcia contro veicolo in sosta,,,,2,0,0,0
3804890,Roma,02-05-2018,22:50,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,2,0,0,0
3804894,Roma,02-05-2018,09:17,Scontro laterale fra veicoli in marcia,,Sereno,Buona,5,0,0,0
3804899,Roma,02-05-2018,12:00,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3804908,Roma,02-05-2018,17:30,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3804911,Roma,02-05-2018,17:55,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3804925,Roma,03-05-2018,01:30,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,0,2,0,0
3804929,Roma,02-05-2018,12:10,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3804935,Roma,01-05-2018,23:40,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,1,1,0,0
