ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3761159,Roma,03-04-2018,20:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3761162,Roma,03-04-2018,12:10,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,1,0,0
3761164,Roma,03-04-2018,15:20,Tamponamento,,Sereno,Buona,2,0,0,0
3761168,Roma,03-04-2018,18:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3761169,Roma,03-04-2018,18:23,Scontro frontale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3761171,Roma,03-04-2018,14:10,Tamponamento Multiplo,,Sereno,Buona,2,1,0,0
3761179,Roma,03-04-2018,12:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3761191,Roma,03-04-2018,07:50,Investimento di pedone,,Sereno,Buona,1,1,0,0
3761194,Roma,03-04-2018,20:50,Tamponamento,,Sereno,Buona,2,0,0,0
3761199,Roma,03-04-2018,21:50,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,3,0,0,0
3761206,Roma,03-04-2018,21:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,1,1,0,0
3761213,Roma,02-04-2018,22:56,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3761221,Roma,03-04-2018,13:40,Tamponamento Multiplo,,Sereno,Buona,3,0,0,0
3761265,Roma,03-04-2018,13:00,Tamponamento,,Sereno,Buona,3,1,0,0
3761270,Roma,03-04-2018,10:45,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3761276,Roma,02-04-2018,22:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Sufficiente,0,2,0,0
3761279,Roma,03-04-2018,09:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3761280,Roma,03-04-2018,16:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3761282,Roma,03-04-2018,08:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3761295,Roma,02-04-2018,20:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3761320,Roma,01-04-2018,03:10,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,2,0,0,0
3761325,Roma,03-04-2018,07:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3761328,Roma,03-04-2018,11:40,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3761330,Roma,03-04-2018,19:05,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,0,2,0,0
3761344,Roma,03-04-2018,16:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,5,0,0
3761347,Roma,03-04-2018,10:15,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3761363,Roma,03-04-2018,17:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,3,1,0,0
3761371,Roma,03-04-2018,20:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,4,0,0,0
3761408,Roma,04-04-2018,00:30,Scontro frontale/laterale DX fra veicoli in marcia,,,,0,3,0,0
3761423,Roma,03-04-2018,12:35,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3761427,Roma,03-04-2018,12:00,Tamponamento,,Nuvoloso,Buona,3,0,0,0
3761477,Roma,04-04-2018,08:50,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,2,1,0,0
3761489,Roma,03-04-2018,18:20,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,1,0,0,0
3761493,Roma,01-04-2018,16:50,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3761503,Roma,04-04-2018,08:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3761513,Roma,02-04-2018,09:30,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,1,0,0
3761521,Roma,02-04-2018,16:05,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3761529,Roma,03-04-2018,12:40,Investimento di pedone,,Nuvoloso,Sufficiente,0,1,0,0
3761535,Roma,02-04-2018,11:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3761538,Roma,04-04-2018,08:35,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,1,1,0,0
3761544,Roma,03-04-2018,15:00,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3761568,Roma,03-04-2018,21:18,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3761588,Roma,03-04-2018,13:35,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3761590,Roma,01-04-2018,19:15,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3761620,Roma,03-04-2018,07:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3761634,Roma,02-04-2018,01:30,Veicolo in marcia contro veicoli in sosta,,Sereno,Buona,0,1,0,0
3761667,Roma,04-04-2018,10:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3761671,Roma,04-04-2018,11:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3761677,Roma,04-04-2018,04:50,Fuoriuscita dalla sede stradale,,Nuvoloso,Sufficiente,0,0,0,1
3761705,Roma,04-04-2018,12:00,Tamponamento,,Sereno,Buona,3,0,0,0
3761914,Roma,04-04-2018,13:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,2,0,0
3761920,Roma,04-04-2018,08:38,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,0,1,0
3761970,Roma,04-04-2018,14:00,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3761999,Roma,04-04-2018,15:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3762009,Roma,04-04-2018,14:55,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762010,Roma,04-04-2018,14:10,Scontro frontale/laterale DX fra veicoli in marcia,,Foschia,Buona,3,0,0,0
3762265,Roma,04-04-2018,14:40,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3762273,Roma,04-04-2018,16:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3762276,Roma,04-04-2018,17:00,Tamponamento,,Nuvoloso,Buona,3,0,0,0
3762289,Roma,04-04-2018,08:20,Tamponamento,,Pioggia in atto,Buona,4,0,0,0
3762294,Roma,04-04-2018,09:20,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,2,0,0,0
3762363,Roma,04-04-2018,07:35,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3762371,Roma,04-04-2018,18:40,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3762742,Roma,04-04-2018,20:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,1,2,0,0
3762758,Roma,04-04-2018,15:40,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,2,0,0,0
3762760,Roma,04-04-2018,09:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762761,Roma,04-04-2018,07:40,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,2,2,0,0
3762763,Roma,04-04-2018,15:35,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3762764,Roma,04-04-2018,17:10,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762765,Roma,04-04-2018,08:30,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762771,Roma,04-04-2018,17:50,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3762778,Roma,04-04-2018,15:20,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762786,Roma,04-04-2018,14:20,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3762793,Roma,04-04-2018,13:45,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,2,0,0,0
3762794,Roma,04-04-2018,20:20,Infortunio per sola frenata improvvisa,,Nuvoloso,Sufficiente,0,1,0,0
3762796,Roma,04-04-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3762797,Roma,04-04-2018,11:50,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
