ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3709753,02-03-2018,17:10,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,4,0,0,0
3709755,02-03-2018,08:15,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,2,0,0,0
3709760,02-03-2018,08:20,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3709766,02-03-2018,17:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3709788,02-03-2018,13:50,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,0,1,0
3709845,02-03-2018,09:45,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3709865,02-03-2018,17:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,1,0,0
3709875,02-03-2018,05:30,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,2,0,0,0
3709907,02-03-2018,13:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
3709946,01-03-2018,06:15,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
3709985,02-03-2018,19:20,Investimento di pedone,,Sereno,Sufficiente,1,0,0,1
3710151,03-03-2018,02:00,Veicolo in marcia contro veicoli in sosta,,Sereno,Sufficiente,2,1,0,0
3710153,02-03-2018,09:50,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3710203,02-03-2018,11:00,Tamponamento Multiplo,,Nuvoloso,Buona,2,2,0,0
3710206,02-03-2018,11:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3710253,02-03-2018,09:50,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3710268,02-03-2018,18:00,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,4,0,0,0
3710269,02-03-2018,07:50,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,3,0,0,0
3710278,02-03-2018,00:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Insufficiente,0,1,0,0
3710279,02-03-2018,21:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3710286,02-03-2018,12:55,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3710291,02-03-2018,15:55,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3710298,02-03-2018,15:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3710304,02-03-2018,22:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3710306,02-03-2018,18:40,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3710307,02-03-2018,16:15,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3710309,02-03-2018,22:25,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,2,1,0,0
3710310,02-03-2018,11:15,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3710312,02-03-2018,15:40,Scontro frontale fra veicoli in marcia,,Sereno,Buona,4,7,0,0
3710321,02-03-2018,16:20,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,2,0,0,0
3710324,02-03-2018,07:10,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Sufficiente,1,0,0,0
3710325,02-03-2018,12:55,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
