ID,Modello,Targa,Tipo veicolo
3805098,Autovettura pubblica,,
3805102,Autocarro inferiore 35 q.,,
3805104,Autovettura privata,,
3805104,Autovettura privata,,
3805104,Motociclo a solo,,
3805106,,,
3805106,Autovettura privata,,
3805109,Autovettura privata,,
3805109,Autovettura privata,,
3805118,,,
3805118,Autovettura privata,,
3805118,Autovettura privata,,
3805132,Motociclo a solo,,
3805132,Autovettura privata,,
3805146,Autovettura privata,,
3805175,Autovettura privata,,
3805175,Motociclo a solo,,
3805191,,,
3805191,Autovettura privata,,
3805196,Autovettura privata,,
3805196,Autocarro inferiore 35 q.,,
3805210,Autovettura privata,,
3805210,Autovettura privata,,
3805222,Autovettura privata,,
3805222,Autovettura privata,,
3805222,Autovettura pubblica,,
3805283,Autovettura privata,,
3805283,Autovettura privata,,
3805295,Autovettura privata,,
3805295,Autovettura privata,,
3805295,Autovettura privata,,
3805326,Autovettura privata,,
3805326,Autovettura privata,,
3805326,Autovettura privata,,
3805358,Autovettura privata,,
3805358,Autovettura privata,,
3805376,Quadriciclo leggero,,
3805424,Autovettura privata,,
3805424,Autovettura privata,,
3805424,Motociclo a solo,,
3805571,Autovettura privata,,
3805571,Motociclo a solo,,
3805597,Motociclo a solo,,
3805649,Autovettura di polizia,,
3805651,,,
3805651,Autovettura privata,,
3805696,Autovettura privata,,
3805697,Autovettura privata,,
3805697,Autovettura privata,,
3805697,Autovettura privata,,
3805699,Autobus di linea,,
3805714,Autoarticolato,,
3805722,Autovettura privata,,
3805722,Autocarro inferiore 35 q.,,
3805733,Autovettura pubblica,,
3805733,Motociclo a solo,,
3805753,Autovettura privata,,
3805753,Autovettura privata,,
3805761,Autovettura privata,,
3805761,Autovettura privata,,
3805783,Autovettura privata,,
3805783,Autovettura privata,,
3805786,Autocarro inferiore 35 q.,,
3805786,Autovettura privata,,
3805786,Autovettura privata,,
3805981,Autobus di linea,,
3805981,Motociclo a solo,,
3805987,Autovettura privata,,
3805987,Autovettura privata,,
3806034,Motociclo a solo,,
3806034,Autovettura privata,,
3806034,Autobus turistico,,
3806041,,,
3806041,Motociclo a solo,,
3806052,Autovettura privata,,
3806052,Autovettura privata,,
3806067,Autovettura privata,,
3806067,Autovettura privata,,
3806088,Autovettura privata,,
3806088,Autovettura privata,,
3806088,Autocarro inferiore 35 q.,,
3806437,Autovettura privata,,
3806440,Autovettura privata,,
3806440,Autovettura privata,,
3806440,Velocipede,,
3806443,,,
3806443,Autovettura privata,,
3806443,Autovettura privata,,
3806458,Autovettura privata,,
3806458,Autovettura privata,,
3806458,Autovettura privata,,
3806458,Autocarro inferiore 35 q.,,
3806459,Autovettura privata,,
3806459,Autovettura privata,,
3806459,Autovettura privata,,
3806459,Autovettura privata,,
3806462,Autovettura privata,,
3806462,Autovettura privata,,
3806463,Ciclomotore,,
3806470,Autovettura privata,,
3806471,Autovettura privata,,
3806471,Autovettura privata,,
3806471,Autovettura privata,,
3806471,Autovettura privata,,
3806472,Autovettura privata,,
3806472,Autovettura privata,,
3806472,Autovettura privata,,
3806478,Autovettura privata,,
3806492,Autovettura privata,,
3806492,Autovettura di polizia,,
3806492,Autovettura di polizia,,
3806492,Autovettura di polizia,,
3806497,Autovettura privata,,
3806497,Motociclo a solo,,
3806505,Motociclo a solo,,
3806505,Autovettura privata,,
3806515,,,
3806515,Autovettura pubblica,,
3806517,Autovettura privata,,
3806517,Autovettura privata,,
3806517,Autovettura privata,,
3806518,Autovettura privata,,
3806518,Autovettura privata,,
3806518,Autovettura privata,,
3806518,Autovettura privata,,
3806537,Autovettura privata,,
3806537,Autovettura privata,,
3806537,Autovettura privata,,
3806537,Autocarro inferiore 35 q.,,
3806542,Motociclo a solo,,
3806545,Autovettura privata,,
3806545,Autovettura privata,,
3806546,Autovettura privata,,
3806546,Autovettura privata,,
3806546,Autovettura privata,,
3806551,Autovettura privata,,
3806551,Motociclo a solo,,
3806552,Autovettura privata,,
3806552,Motociclo a solo,,
3806556,Autovettura privata,,
3806556,Autovettura privata,,
3806560,Autovettura privata,,
3806560,Autovettura privata,,
3806563,Motociclo a solo,,
3806563,Autovettura privata,,
3806563,Autovettura privata,,
3806564,Autovettura privata,,
3806565,Autovettura privata,,
3806565,Autovettura privata,,
3806565,Autovettura privata,,
3806565,Autovettura privata,,
3806565,Autovettura privata,,
3806565,Autovettura privata,,
3806566,Autovettura privata,,
3806566,Motociclo a solo,,
3806573,Autovettura privata,,
3806573,Autovettura privata,,
3806575,,,
3806575,Autovettura privata,,
3806575,Autovettura privata,,
3806576,Autovettura privata,,
3806576,Motociclo a solo,,
3806577,Autovettura privata,,
3806577,Autovettura privata,,
3806582,Autovettura privata,,
3806582,Autovettura privata,,
3806582,Autovettura privata,,
3806582,Autovettura privata,,
3806588,,,
3806588,Autovettura privata,,
3806589,Autovettura privata,,
3806589,Autovettura privata,,
3806593,Autovettura privata,,
3806593,Autovettura privata,,
3806593,Autovettura privata,,
3806600,Motociclo a solo,,
3806600,Autovettura privata,,
3806606,Autovettura privata,,
3806609,Autovettura privata,,
3806609,Autovettura di polizia,,
3806609,Autovettura di polizia,,
3806609,Autovettura di polizia,,
3806619,Autobus di linea,,
3806621,Autovettura privata,,
3806630,Motociclo a solo,,
3806631,Autovettura privata,,
3806631,Autovettura privata,,
3806631,Autovettura privata,,
3806636,Autovettura privata,,
3806650,Autovettura pubblica,,
3806654,Autovettura privata,,
3806656,Autovettura privata,,
3806656,Autovettura privata,,
3806656,Autovettura privata,,
3806657,Autovettura privata,,
3806662,Autovettura privata,,
3806671,Autocarro inferiore 35 q.,,
3806671,Autovettura privata,,
3806672,Autobus di linea,,
3806672,Autobus di linea,,
3806672,Autovettura privata,,
3806676,Motociclo a solo,,
3806676,Autovettura privata,,
3806676,Autovettura privata,,
3806677,Autovettura privata,,
3806677,Autovettura privata,,
3806677,Autovettura privata,,
3806693,Autovettura privata,,
3806693,Autovettura privata,,
3806703,Autovettura privata,,
3806703,Autovettura privata,,
3806706,Autovettura privata,,
3806709,Autovettura privata,,
3806709,Autovettura privata,,
3806709,Autovettura privata,,
3806717,Motociclo a solo,,
3806717,Autovettura privata,,
3806722,,,
3806722,Autovettura privata,,
3806722,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806744,Autovettura privata,,
3806753,Autovettura privata,,
3806753,Autovettura privata,,
3806753,Autovettura privata,,
3806753,Autovettura privata,,
3806775,Autovettura privata,,
3806775,Autovettura privata,,
3806803,Motociclo a solo,,
3806816,Autovettura privata,,
3806816,Autovettura privata,,
3806816,Autovettura privata,,
3806816,Autovettura privata,,
3806816,Autovettura privata,,
3806816,Autovettura privata,,
3806824,Autovettura privata,,
3806870,Autovettura privata,,
3806876,Autovettura privata,,
3806876,Autocarro inferiore 35 q.,,
3806889,Autovettura privata,,
3806889,Autovettura privata,,
3806889,Motociclo a solo,,
3806892,Autovettura di polizia,,
3806892,Autovettura privata,,
3806910,Autovettura privata,,
3806911,Autovettura privata,,
3806911,Autovettura privata,,
3806911,Autovettura privata,,
3806963,Autovettura privata,,
3806972,Autovettura privata,,
3806976,Autovettura privata,,
3806976,Autovettura privata,,
3807011,Motociclo a solo,,
3807011,Autovettura privata,,
3807046,Autovettura privata,,
3807046,Motociclo a solo,,
3807113,Autovettura privata,,
3807113,Autovettura privata,,
3807162,Autovettura privata,,
3807192,Autovettura privata,,
3807192,Autovettura privata,,
3807250,Autovettura privata,,
3807250,Autovettura privata,,
3807275,Autovettura privata,,
3807275,Autovettura privata,,
3807305,Autovettura privata,,
3807305,Autovettura privata,,
3807305,Motociclo a solo,,
3807312,Autovettura privata,,
3807312,Autovettura privata,,
3807312,Autovettura privata,,
3807314,Autovettura privata,,
3807314,Autovettura privata,,
3807322,Autovettura privata,,
3807322,Motociclo a solo,,
3807334,Autovettura privata,,
3807356,Autocarro superiore 35 q.,,
3807356,Autovettura privata,,
3807487,Autovettura pubblica,,
3807487,Motociclo a solo,,
3807492,Autovettura privata,,
3807492,Autovettura privata,,
3807517,Autovettura privata,,
3807517,Motociclo a solo,,
3807587,Autovettura privata,,
3807620,,,
3807620,Motociclo a solo,,
3807639,,,
3807639,Autovettura pubblica,,
3807639,Autovettura pubblica,,
3807639,Autovettura pubblica,,
3807689,Autovettura privata,,
3807689,Motociclo a solo,,
3807701,Autovettura privata,,
3807701,Autovettura privata,,
3807701,Autovettura privata,,
3807705,Autovettura privata,,
3807705,Autovettura privata,,
3807705,Autovettura privata,,
3807709,Quadriciclo leggero,,
3807709,Quadriciclo leggero,,
3807721,Autovettura pubblica,,
3807721,Autocarro inferiore 35 q.,,
3807732,Motociclo a solo,,
3807735,Autovettura privata,,
3807735,Autovettura privata,,
3807745,Autovettura privata,,
3807745,Autovettura privata,,
3807745,Autovettura privata,,
3807761,Autovettura privata,,
3807761,Autovettura privata,,
3807761,Autovettura privata,,
3807761,Autovettura privata,,
3807778,Autovettura privata,,
3807778,Autovettura privata,,
3807778,Autovettura privata,,
3807778,Autovettura privata,,
3807778,Autovettura privata,,
3807965,Motociclo a solo,,
3807982,Autovettura privata,,
3807982,Autovettura privata,,
3808170,Autovettura privata,,
3808170,Motociclo con passeggero,,
3808175,Autovettura privata,,
3808175,Autovettura privata,,
3808208,Autovettura privata,,
3808208,Autovettura privata,,
3808208,Autovettura privata,,
3808208,Autovettura privata,,
3808208,Autovettura privata,,
3808208,Autovettura privata,,
3808208,Autovettura privata,,
3808225,Motociclo con passeggero,,
3808225,Motociclo con passeggero,,
3808225,Autovettura privata,,
3808228,Autovettura privata,,
3808228,Autovettura privata,,
3808232,Autovettura privata,,
3808235,Autovettura privata,,
3808235,Autovettura privata,,
3808236,Autovettura privata,,
3808236,Autovettura privata,,
3808239,Autovettura privata,,
3808239,Autovettura privata,,
3808239,Autovettura privata,,
3808257,Autovettura privata,,
3808257,Autovettura privata,,
3808259,Autovettura privata,,
3808260,Autovettura privata,,
3808260,Autovettura privata,,
3808337,Autocarro inferiore 35 q.,,
3808337,Motociclo a solo,,
3808344,Autobus turistico,,
3808363,Autobus urbano,,
3808363,Autovettura privata,,
3808367,Autovettura privata,,
