Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-01-05;18:35;VIA MALASPINA ;F;1;13,34001;38,128822
2018-01-05;15:15;VIA SIRTORI GIUSEPPE GEN. ;F;1;13,341325;38,127378
2018-01-05;18:30;VIA LANZA DI SCALEA GIUSEPPE ;F;6;13,30396;38,183166
2018-01-05;23:00;PIAZZA GIULIO CESARE;F;1;13,366503;38,110695
2018-01-06;04:00;VIA STABILE MARIANO ;C;;13,358127;38,123149
2018-01-06;14:45;VIA DELL'ORSA MAGGIORE ;F;1;13,360833;38,093681
2018-01-06;15:30;P.ZZA PRINCIPE DI CAMPOREALE ;F;1;13,339751;38,120122
2018-01-07;06:15;CORSO DEI MILLE ;F;1;13,375131;38,105498
2018-01-07;11:15;VIA MESSINA MARINE ;F;1;13,383103;38,106774
2018-01-07;15:00;VIA ALBERGHERIA ;C;;13,359549;38,110598
2018-01-05;10:30;PIAZZALE BOLIVAR SIMON ;F;1;13,29894;38,189187
2018-01-05;15:10;VIA LANZA DI SCALEA GIUSEPPE ;C;;13,305851;38,180824
2018-01-06;12:30;VIA STABILE MARIANO ;C;;13,35637;38,12243
2018-01-07;01:45;VIALE NICOLETTI ROSARIO ;C;;13,287524;38,192709
2018-01-08;11:30;VIALE REGIONE SICILIANA N.O. ;F;1;13,32708;38,147676
2018-01-05;14:45;VIALE ERCOLE ;C;;13,348282;38,150433
2018-01-08;13:30;VIA ARMAFORTE EMANUELE ;C;;13,34024;38,125591
2018-01-08;16:00;VIA CASTELLANA ;F;1;13,296974;38,125689
2018-01-08;18:50;VIA DEL CASTORO ;F;1;13,359298;38,084315
2018-01-08;20:25;VIA DELL'ORSA MINORE ;F;1;13,368692;38,095246
2018-01-09;06:30;VIALE DE GASPERI ALCIDE ;F;1;13,332874;38,149097
2018-01-09;14:10;VIA DELLA LIBERTA' ;F;1;13,346407;38,138747
2018-01-09;14:00;VIA BEATO ANGELICO ;F;1;13,32292;38,127342
2018-01-09;14:10;VIA ONORATO CARMELO ;F;1;13,346317;38,10746
2018-01-09;14:30;PIAZZA TONNARA ;F;1;13,374748;38,152487
2018-01-09;18:30;VIALE STRASBURGO ;F;1;13,327735;38,155241
2018-01-10;01:40;STRADA PROV. PALERMO;C;;13,303306;38,092136
2018-01-10;08:05;VIA MAJALI GIULIANO ;F;1;13,361482;38,109576
2018-01-10;07:15;VIA ARIOSTO LUDOVICO ;C;;13,346967;38,134798
2018-01-10;11:15;VIA SAMMARTINO ;F;1;13,350879;38,123092
2018-01-10;11:15;VIA TOMMASO NATALE ;F;1;13,292686;38,183362
2018-01-08;16:00;VIA CAVOUR CAMILLO ;F;1;13,360425;38,12189
2018-01-10;07:40;VIA CIMABUE GIOVANNI ;C;;13,325735;38,130898
2018-01-10;08:50;VIALE REGIONE SICILIANA N.O. ;C;;13,330161;38,105366
2018-01-10;14:05;VIA DEI QUARTIERI ;F;1;13,326298;38,161805
