ID,TipoPersona,Sesso,TipoLesione
3623717,Conducente,M,Illeso
3623717,Passeggero,M,Illeso
3623717,Conducente,M,Rimandato
3623755,Conducente,M,Rimandato
3623755,Conducente,M,Illeso
3623763,Conducente,M,Illeso
3623763,Passeggero,M,Illeso
3623763,Passeggero,F,Illeso
3623763,Conducente,M,Rimandato
3623772,Conducente,F,Illeso
3623783,Conducente,M,Illeso
3623783,Conducente,M,Illeso
3623783,Conducente,M,Illeso
3623807,Conducente,F,Illeso
3623811,Conducente,F,Illeso
3623811,Conducente,F,Illeso
3623820,Conducente,M,Illeso
3623820,Passeggero,F,Illeso
3623843,Conducente,M,Illeso
3623843,Passeggero,F,Illeso
3623843,Conducente,M,Illeso
3623862,Conducente,F,Illeso
3623877,Conducente,M,Illeso
3623908,Conducente,M,Illeso
3623915,Conducente,M,Illeso
3623915,Conducente,M,Illeso
3623915,Passeggero,F,Illeso
3623928,Pedone,M,Illeso
3623928,Conducente,M,Illeso
3623941,Conducente,M,Illeso
3623941,Conducente,M,Rifiuta cure immediate
3623968,Conducente,M,Illeso
3624381,Conducente,M,Illeso
3624381,Conducente,M,Illeso
3624381,Passeggero,M,Illeso
3624422,Conducente,F,Illeso
3624422,Passeggero,F,Illeso
3624425,Pedone,F,Rimandato
3624425,Conducente,M,Illeso
3624425,Conducente,M,Illeso
3624439,Conducente,M,Illeso
3624439,Conducente,F,Illeso
3624439,Passeggero,F,Illeso
3624439,Passeggero,F,Illeso
3624439,Conducente,M,Illeso
3624453,Conducente,M,Illeso
3624453,Conducente,M,Illeso
3624453,Passeggero,F,Illeso
3624465,Conducente,M,Illeso
3624469,Conducente,F,Illeso
3624475,Conducente,M,Illeso
3624475,Conducente,F,Illeso
3624475,Passeggero,F,Illeso
3624475,Passeggero,F,Illeso
3624513,Conducente,M,Illeso
3624513,Conducente,M,Illeso
3624525,Conducente,M,Illeso
3624525,Passeggero,M,Illeso
3624525,Passeggero,M,Illeso
3624525,Passeggero,M,Illeso
3624525,Conducente,M,Illeso
3624525,Passeggero,F,Illeso
3624543,Conducente,M,Illeso
3624543,Passeggero,M,Illeso
3624544,Conducente,M,Rimandato
3624544,Passeggero,F,Rimandato
3624544,Conducente,M,Rimandato
3624554,Conducente,F,Illeso
3624554,Passeggero,M,Illeso
3624554,Conducente,F,Rimandato
3624889,Conducente,M,Illeso
3624889,Conducente,M,Illeso
3624896,Conducente,F,Illeso
3624896,Passeggero,M,Illeso
3624897,Pedone,F,Rimandato
3624897,Conducente,F,Illeso
3624905,Conducente,M,Rimandato
3624907,Conducente,F,Illeso
3624907,Conducente,M,Illeso
3624908,Conducente,F,Illeso
3624908,Conducente,M,Rimandato
3624909,Conducente,F,Illeso
3624909,Conducente,F,Illeso
3624911,Conducente,F,Rifiuta cure immediate
3624911,Passeggero,M,Rimandato
3624911,Conducente,F,Illeso
3624920,Conducente,F,Illeso
3624922,Conducente,M,Illeso
3624922,Passeggero,M,Illeso
3624931,Conducente,M,Illeso
3624934,Conducente,F,Illeso
3624936,Conducente,F,Illeso
3624936,Conducente,M,Rimandato
3624937,Conducente,F,Illeso
3624937,Passeggero,M,Illeso
3624937,Passeggero,F,Illeso
3624937,Conducente,M,Illeso
3624938,Conducente,M,Rifiuta cure immediate
3624938,Passeggero,F,Rifiuta cure immediate
3624938,Passeggero,M,Rifiuta cure immediate
3624938,Conducente,M,Illeso
3624939,Conducente,M,Illeso
3624939,Conducente,F,Illeso
3624941,Conducente,M,Illeso
3624941,Conducente,F,Rimandato
3624941,Passeggero,F,Rifiuta cure immediate
3624945,Conducente,M,Illeso
3624945,Conducente,M,Illeso
3624946,Conducente,F,Rimandato
3624946,Conducente,M,Illeso
3624950,Conducente,F,Illeso
