ID,Via,Coordinate,Fondo Stradale,Pavimentazione,Illuminazione,Data,Ora,Tipo,Meteo,Visibilita,N. Illesi,N. Feriti,N. Prognosi Riservata,N. Deceduti
3645042,VIA EDOARDO JENNER,"(41.87092,12.44509)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,10:40,Scontro laterale fra veicoli in marcia,Sereno,Buona,1,1,0,0
3645047,VIA DEI FRASSINI,"(41.87965,12.56793)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,12:55,Scontro frontale fra veicoli in marcia,Nuvoloso,Buona,1,1,0,0
3645153,VIA DEI MELI,"(41.88099,12.57651)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,13:30,Veicolo in marcia contro veicoli in sosta,Nuvoloso,Buona,2,0,0,0
3645158,VIA DEL PONTE DELLE SETTE MIGLIA,"(41.84104,12.60251)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,13:00,Scontro frontale/laterale SX fra veicoli in marcia,Sereno,Buona,3,0,0,0
3645252,VIA NARNI,"(41.87938,12.52774)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,14:15,Veicolo in marcia contro veicolo in sosta,Sereno,Buona,1,0,0,0
3645261,VIA CARLO LIVI,"(41.93586,12.41853)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,16:40,Scontro laterale fra veicoli in marcia,Sereno,Buona,4,0,0,0
3645285,VIA DI BRAVETTA,"(,)",,,,18/01/2018,08:20,Scontro laterale fra veicoli in marcia,,,2,0,0,0
3645301,VIALE GIOVANNI FALCONE E PAOLO BORSELLINO,"(41.91829,12.45272)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,14:00,Veicolo in marcia contro ostacolo fisso,Sereno,Buona,0,1,0,0
3645320,PIAZZA DELLE CINQUE GIORNATE,"(41.91439,12.46849)",Asciutto,Asfaltata,Sufficiente,18/01/2018,16:30,Scontro laterale fra veicoli in marcia,Sereno,Buona,2,0,0,0
3645326,VIA DELLA MAGLIANA,"(41.83404,12.4243)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,14:30,Scontro frontale/laterale SX fra veicoli in marcia,Nuvoloso,Buona,5,0,0,0
3645334,VIA DEL TRULLO,"(41.84304,12.43679)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,12:40,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Buona,3,0,0,0
3645335,VIA DI ACQUA ACETOSA OSTIENSE,"(41.80206,12.47827)",Asciutto,Asfaltata,Sufficiente,18/01/2018,19:05,Tamponamento,Nuvoloso,Buona,1,1,0,0
3645623,VIA GIOVANNI VOLPATO,"(41.87145,12.46736)",Asciutto,Asfaltata,Sufficiente,18/01/2018,22:43,Scontro frontale/laterale DX fra veicoli in marcia,Sereno,Buona,1,0,0,1
3645631,VIA APPIA ANTICA,"(41.86134,12.51019)",Asciutto,In cubetti di porfido,Sufficiente,18/01/2018,21:20,Veicolo in marcia contro ostacolo fisso,Sereno,Buona,1,0,0,0
3645639,LUNGOTEVERE DE' CENCI,"(41.89185,12.47553)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,12:10,Veicolo in marcia contro ostacolo accidentale,Sereno,Buona,2,1,0,0
3645643,VIA IMERA,"(41.87845,12.51064)",Asciutto,Asfaltata,Sufficiente,18/01/2018,15:30,Scontro laterale fra veicoli in marcia,Sereno,Buona,2,0,0,0
3645648,VIALE PALMIRO TOGLIATTI,"(41.89394,12.57487)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,09:00,Scontro laterale fra veicoli in marcia,Sereno,Buona,2,0,0,0
3645657,VIALE PALMIRO TOGLIATTI,"(41.88718,12.57334)",Bagnato (pioggia),Asfaltata,Sufficiente,19/01/2018,00:10,Scontro frontale/laterale DX fra veicoli in marcia,Pioggia in atto,Sufficiente,0,2,0,0
3645660,VIA TIBURTINA,"(41.94069,12.63454)",Asciutto,Asfaltata,Sufficiente,18/01/2018,06:50,Veicolo in marcia contro ostacolo fisso,Sereno,Buona,1,3,0,0
