Citta',Data,Ora,Luogo,Coordinate,Illesi,Feriti,Riservata,Decessi,Tipo,Causa,Visibilità,Fondo_stradale,Meteo,Pavimentazione,Illuminazione
Palermo,2018-01-14,08:45,VIA MESSINA MARINE ,"(38.103846,13.391793)",,,,,,,,,,,
Palermo,2018-01-14,05:10,VIA MADDALENA UMBERTO ,"(38.098179,13.309757)",,,,,,,,,,,
Palermo,2018-01-14,18:00,VIALE REGIONE SICILIANA N.O. ,"(38.110554,13.329538)",,2,,,,,,,,,
Palermo,2018-01-15,02:15,VIALE MARGHERITA DI SAVOIA ,"(38.16659,13.339155)",,1,,,,,,,,,
Palermo,2018-01-04,18:30,VIA CRISPI FRANCESCO ,"(38.12272,13.36491)",,,,,,,,,,,
Palermo,2018-01-11,00:05,FORO UMBERTO I ,"(38.116713,13.373952)",,1,,,,,,,,,
Palermo,2018-01-15,14:25,VIA ARIMONDI GIUSEPPE GEN. ,"(38.136507,13.350785)",,,,,,,,,,,
Palermo,2018-01-08,15:30,VIA BASILE ERNESTO ,"(38.103526,13.349465)",,,,,,,,,,,
Palermo,2018-01-11,00:36,VIA CALA ,"(38.11962,13.369762)",,1,,,,,,,,,
Palermo,2018-01-11,17:13,VIALE REGIONE SICILIANA N.O. ,"(38.140034,13.330623)",,1,,,,,,,,,
Palermo,2018-01-14,12:50,VIA GUARNERI ANDREA ,"(38.124829,13.319985)",,,,,,,,,,,
Palermo,2018-01-15,16:20,VIA BADIA ,"(38.134841,13.320261)",,1,,,,,,,,,
Palermo,2018-01-15,17:30,VIALE DEL FANTE ,"(38.162285,13.333275)",,,,,,,,,,,
Palermo,2018-01-16,07:45,VIA PACINI GIOVANNI ,"(38.119226,13.346822)",,1,,,,,,,,,
Palermo,2018-01-16,08:45,VIALE GALILEO GALILEI ,"(38.130668,13.334619)",,1,,,,,,,,,
Palermo,2018-01-12,11:10,VIA DI MARCO VINCENZO ,"(38.135534,13.350314)",,,,,,,,,,,
Palermo,2018-01-16,12:55,VIA DON ORIONE ,"(38.141114,13.362181)",,1,,,,,,,,,
Palermo,2018-01-16,14:10,VIA PIAZZI GIUSEPPE ,"(38.123991,13.347254)",,,,,,,,,,,
Palermo,2018-01-16,17:20,VIA MONGITORE ANTONINO ,"(38.109925,13.356184)",,1,,,,,,,,,
