Citta',Data,Ora,Luogo,Coordinate,Illesi,Feriti,Riservata,Decessi,Tipo,Causa,Visibilità,Fondo_stradale,Meteo,Pavimentazione,Illuminazione
Palermo,2018-04-01,07:30,VIA CALA ,"(38.118873,13.368724)",,,,,,,,,,,
Palermo,2018-04-01,08:06,CORSO CALATAFIMI ,"(38.108366,13.342962)",,1,,,,,,,,,
Palermo,2018-04-01,19:30,VIA SPERONE ,"(38.099013,13.403084)",,1,,,,,,,,,
Palermo,2018-04-01,19:45,VIA SPERONE ,"(38.099013,13.403084)",,,,,,,,,,,
Palermo,2018-04-02,14:00,VIA CALVI PASQUALE ,"(38.13011,13.354962)",,2,,,,,,,,,
Palermo,2018-04-02,21:30,VIA CALA ,"(38.120239,13.371124)",,1,,,,,,,,,
Palermo,2018-03-30,11:15,VIA CORDOVA FILIPPO ,"(38.141192,13.346904)",,1,,,,,,,,,
Palermo,2018-04-01,11:50,VIA DECOLLATI ,"(38.104821,13.370951)",,1,,,,,,,,,
Palermo,2018-04-03,09:55,VIA ABRUZZI ,"(38.147141,13.332412)",,,,,,,,,,,
Palermo,2018-03-19,10:10,VIALE REGIONE SICILIANA N.O. ,"(38.131033,13.330131)",,,,,,,,,,,
Palermo,2018-03-28,11:00,VIA COSTA GAETANO ,"(38.08564,13.32998)",,1,,,,,,,,,
Palermo,2018-04-03,14:45,VIA VILLA FLORIO ,"(38.120631,13.346335)",,2,,,,,,,,,
Palermo,2018-04-01,16:50,VIA MADDALENA UMBERTO ,"(38.107428,13.309221)",,,,,,,,,,,
Palermo,2018-03-31,13:20,VIA TRINACRIA ,"(38.149854,13.338111)",,1,,,,,,,,,
Palermo,2018-01-31,17:30,VIA SCAGLIONE PIETRO ,"(38.139881,13.313126)",,,,,,,,,,,
Palermo,2018-04-04,08:20,CORSO DEI MILLE ,"(38.102802,13.379116)",,1,,,,,,,,,
Palermo,2018-03-29,18:00,VIALE REGIONE SICILIANA S.E. ,"(38.09011,13.373445)",,,,,,,,,,,
Palermo,2018-04-04,14:10,CORSO PISANI PIETRO ,"(38.108536,13.349045)",,1,,,,,,,,,
Palermo,2018-03-31,19:15,VIA ROMA ,"(38.125025,13.35858)",,,,,,,,,,,
Palermo,2018-03-29,14:25,VIA LA MARMORA ALESSANDRO ,"(38.142472,13.345643)",,,,,,,,,,,
Palermo,2018-03-24,09:15,VIA CALVI PASQUALE ,"(38.130146,13.35506)",,,,,,,,,,,
Palermo,2018-04-03,19:45,VIA CALA ,"(38.12004,13.366678)",,,,,,,,,,,
Palermo,2018-03-28,18:00,PIAZZA RESTIVO FRANCO ,"(38.14183,13.341581)",,,,,,,,,,,
Palermo,2018-04-04,14:30,VIALE REGIONE SICILIANA N.O. ,"(38.106426,13.329812)",,1,,,,,,,,,
Palermo,2018-04-04,19:50,VIA PACINOTTI ANTONIO ,"(38.128684,13.335418)",,1,,,,,,,,,
Palermo,2018-04-04,20:30,VIA RESUTTANA ,"(38.155029,13.332274)",,1,,,,,,,,,
Palermo,2018-04-05,02:55,PIAZZA GIULIO CESARE ,"(38.110616,13.366067)",,1,,,,,,,,,
Palermo,2018-03-15,16:10,VIA GARZILLI NICCOLO' ,"(38.123719,13.353676)",,,,,,,,,,,
Palermo,2018-03-26,10:20,VIA SETTIMO RUGGERO ,"(38.121532,13.357835)",,,,,,,,,,,
Palermo,2018-04-05,08:50,VIA LA MALFA UGO ,"(38.160538,13.315379)",,1,,,,,,,,,
Palermo,2018-04-04,00:30,VIA MESSINA MARINE ,"(38.101244,13.398715)",,,,,,,,,,,
Palermo,2018-03-29,11:55,VIA TURRISI NICOLO' ,"(38.120151,13.352871)",,,,,,,,,,,
Palermo,2018-04-05,11:30,VIA UDITORE ,"(38.132731,13.32288)",,1,,,,,,,,,
Palermo,2018-03-29,11:10,SVINCOLO DI SALVO ROSARIO ,"(38.149033,13.326776)",,,,,,,,,,,
Palermo,2018-03-29,11:35,VIALE REGIONE SICILIANA N.O. ,"(38.145588,13.328783)",,,,,,,,,,,
Palermo,2018-04-05,13:15,CORSO TUKORY ,"(38.109463,13.36283)",,2,,,,,,,,,
Palermo,2018-04-05,13:30,PIAZZA NISCEMI ,"(38.163933,13.33255)",,1,,,,,,,,,
Palermo,2018-04-05,15:30,VIA BASILE ERNESTO ,"(38.100708,13.347719)",,1,,,,,,,,,
Palermo,2018-04-05,15:50,CORSO TUKORY ,"(38.108983,13.360446)",,1,,,,,,,,,
Palermo,2018-04-05,17:20,VIA BRASA ,"(38.09579,13.336044)",,2,,,,,,,,,
Palermo,2018-04-05,19:40,VIA LANZA DI SCALEA GIUSEPPE ,"(38.177463,13.308484)",,1,,,,,,,,,
Palermo,2018-04-06,02:20,VIA LEOPARDI GIACOMO ,"(38.134323,13.345709)",,1,,,,,,,,,
Palermo,2018-04-05,21:00,VIA DEI CANTIERI ,"(38.137116,13.363431)",,1,,,,,,,,,
Palermo,2018-04-05,22:40,VIALE LAZIO ,"(38.14117,13.335079)",,1,,,,,,,,,
Palermo,2018-04-06,08:35,VIA PITRE' GIUSEPPE ,"(38.110454,13.33312)",,,,,,,,,,,
Palermo,2018-04-06,07:55,VIA PITRE' GIUSEPPE ,"(38.110618,13.328254)",,1,,,,,,,,,
Palermo,2018-04-06,09:00,VIALE REGINA ELENA ,"(38.198473,13.330049)",,1,,,,,,,,,
Palermo,2018-04-06,11:05,VIA ROCCAZZO ,"(38.123551,13.310163)",,1,,,,,,,,,
Palermo,2018-04-05,12:30,VIA MONTI IBLEI ,"(38.147228,13.329664)",,1,,,,,,,,,
Palermo,2018-04-06,15:35,PIAZZA QUATTRO NOVEMBRE ,"(38.142451,13.342044)",,4,,,,,,,,,
Palermo,2018-04-03,09:45,PIAZZA EINSTEIN ALBERT ,"(38.128497,13.328965)",,,,,,,,,,,
Palermo,2018-04-04,18:40,PIAZZA EINSTEIN ALBERT ,"(38.128777,13.330249)",,,,,,,,,,,
Palermo,2018-04-06,16:20,VIA DUCROT VITTORIO ,"(38.092664,13.398252)",,4,,,,,,,,,
Palermo,2018-03-29,18:00,VIALE REGIONE SICILIANA S.E. ,"(38.086131,13.350782)",,,,,,,,,,,
Palermo,2018-03-21,20:20,VIA SCIUTI GIUSEPPE ,"(38.139613,13.338663)",,,,,,,,,,,
Palermo,2018-03-23,11:20,VIA FICHIDINDIA ,"(38.093867,13.381197)",,1,,,,,,,,,
Palermo,2018-03-31,16:00,VIA ORETO ,"(38.100359,13.37121)",,2,,,,,,,,,
Palermo,2018-04-02,09:15,VIA GULI' SIMONE COM. ,"(38.13819,13.367618)",,1,,,,,,,,,
Palermo,2018-04-05,16:15,PIAZZA CASTELFORTE ,"(38.190002,13.321434)",,,,,,,,,,,
Palermo,2018-04-05,17:00,VIALE DIANA ,"(38.150196,13.348052)",,,,,,,,,,,
Palermo,2018-03-21,18:30,VIA DELLA LIBERTA' ,"(38.133675,13.349604)",,,,,,,,,,,
Palermo,2018-03-27,12:50,PIAZZA CAPONNETTO ANTONINO ,"(38.135253,13.357955)",,,,,,,,,,,
Palermo,2018-03-01,09:30,PIAZZA VERDI GIUSEPPE ,"(38.120867,13.357961)",,1,,,,,,,,,
Palermo,2018-04-03,11:00,VIALE DEL FANTE ,"(38.152188,13.340821)",,2,,,,,,,,,
Palermo,2018-04-06,18:10,VIALE MARIA SS. MEDIATRICE ,"(38.101896,13.336438)",,1,,,,,,,,,
Palermo,2018-04-06,18:40,VIA ORETO ,"(38.093889,13.375495)",,1,,,,,,,,,
Palermo,2018-04-07,01:45,VIA VENEZIA ,"(38.117361,13.361406)",,,,,,,,,,,
Palermo,2018-04-07,02:00,VIA BUONRIPOSO ,"(38.100118,13.372816)",,1,,,,,,,,,
Palermo,2018-04-07,11:20,VIALE REGIONE SICILIANA S.E. ,"(38.086119,13.409719)",,1,,,,,,,,,
Palermo,2018-04-07,13:00,VIALE REGIONE SICILIANA N.O. ,"(38.112363,13.329946)",,1,,,,,,,,,
Palermo,2018-04-07,15:50,PIAZZA CAPONNETTO ANTONINO ,"(38.135025,13.357839)",,1,,,,,,,,,
Palermo,2018-04-07,22:55,CORSO DEI MILLE ,"(38.083845,13.425856)",,2,,,,,,,,,
Palermo,2018-04-08,01:00,VIA PRINCIPE DI VILLAFRANCA ,"(38.127099,13.350607)",,4,,,,,,,,,
Palermo,2018-04-08,05:40,VIALE REGIONE SICILIANA N.O. ,"(38.115134,13.329254)",,1,,,,,,,,,
Palermo,2018-04-08,03:30,VIA ZISA ,"(38.115584,13.344259)",,2,,,,,,,,,
Palermo,2018-04-07,16:20,VIA VILLA FILIPPINA ,"(38.120397,13.353031)",,,,,,,,,,,
Palermo,2018-04-07,19:45,VIA SERGIO PAPA I ,"(38.155567,13.370728)",,2,,,,,,,,,
Palermo,2018-04-08,13:00,VIA DEI CANTIERI ,"(38.13592,13.358582)",,1,,,,,,,,,
Palermo,2018-04-08,18:15,VIALE MARGHERITA DI SAVOIA ,"(38.193708,13.332095)",,1,,,,,,,,,
Palermo,2018-04-08,18:00,VIA POMARA ,"(38.084166,13.433624)",,,,,,,,,,,
Palermo,2018-04-09,00:05,PIAZZA GIULIO CESARE ,"(38.110807,13.36679)",,2,,,,,,,,,
Palermo,2018-04-08,05:00,VIALE DIANA ,"(38.151969,13.349544)",,,,,,,,,,,
Palermo,2018-04-09,08:00,VIA BORREMANS GUGLIELMO ,"(38.133219,13.336806)",,,,,,,,,,,
Palermo,2018-04-07,22:40,LUNGOMARE COLOMBO CRISTOFORO ,"(38.177996,13.366249)",,3,,,,,,,,,
Palermo,2018-04-09,07:30,VIA ARIOSTO LUDOVICO ,"(38.134319,13.345744)",,2,,,,,,,,,
Palermo,2018-04-09,09:15,VIALE DEL FANTE ,"(38.150729,13.341724)",,,,,,,,,,,
Palermo,2018-04-09,12:15,PIAZZA NASCE' FRANCESCO ,"(38.128,13.356386)",,1,,,,,,,,,
Palermo,2018-02-25,08:20,VIA AUSONIA ,"(38.149642,13.334718)",,,,,,,,,,,
Palermo,2018-02-01,19:45,VIA SACCO E VANZETTI ,"(38.096577,13.409499)",,,,,,,,,,,
Palermo,2018-04-09,15:10,VIA TRAMONTANA ,"(38.13217,13.339046)",,,,,,,,,,,
Palermo,2018-04-09,15:45,VIA CENTURIPE ,"(38.132032,13.29382)",,3,,,,,,,,,
Palermo,2018-03-21,12:30,P.ZZA PRINCIPE DI CAMPOREALE ,"(38.11899,13.341828)",,1,,,,,,,,,
Palermo,2018-04-09,18:30,VIA SCIUTI GIUSEPPE ,"(38.13248,13.343266)",,1,,,,,,,,,
Palermo,2018-04-02,13:20,VIA MONDELLO ,"(38.202764,13.321219)",,1,,,,,,,,,
Palermo,2018-04-10,12:10,PIAZZA MONTEGRAPPA ,"(38.102884,13.352265)",,2,,,,,,,,,
Palermo,2018-04-10,13:15,VIA PALADINI FILIPPO ,"(38.135822,13.309189)",,2,,,,,,,,,
Palermo,2018-04-10,14:10,CORSO RE RUGGERO ,"(38.10913,13.353956)",,,,,,,,,,,
Palermo,2018-04-10,15:05,VIA DUE VANELLE ,"(38.093851,13.319584)",,1,,,,,,,,,
Palermo,2018-04-10,15:00,VIA FALCANDO UGO ,"(38.127137,13.336749)",,2,,,,,,,,,
Palermo,2018-03-23,16:30,PIAZZA NASCE' FRANCESCO ,"(38.127842,13.3569)",,3,,,,,,,,,
Palermo,2018-04-04,21:45,VIALE MARGHERITA DI SAVOIA ,"(38.193762,13.332249)",,1,,,,,,,,,
Palermo,2018-04-09,10:10,VIA STABILE MARIANO ,"(38.122668,13.356908)",,,,,,,,,,,
Palermo,2018-04-09,11:30,VIALE REGIONE SICILIANA N.O. ,"(38.122129,13.329273)",,,,,,,,,,,
Palermo,2018-04-10,18:50,VIA GIORDANO ALFONSO ,"(38.105822,13.358505)",,1,,,,,,,,,
Palermo,2018-04-11,07:30,VIA CAU LUSSORIO ,"(38.09347,13.343478)",,,,,,,,,,,
Palermo,2018-04-09,08:10,VIALE STRASBURGO ,"(38.157825,13.324992)",,,,,,,,,,,
Palermo,2018-04-11,12:40,VIA MALASPINA ,"(38.124473,13.347303)",,1,,,,,,,,,
Palermo,2018-04-11,13:15,VIA MAGLIOCCO VINCENZO GEN. ,"(38.121635,13.356703)",,1,,,,,,,,,
Palermo,2018-04-11,19:05,VIALE REGIONE SICILIANA N.O. ,"(38.12391,13.328718)",,,,,,,,,,,
Palermo,2018-04-11,19:40,VIA MORELLO NUNZIO ,"(38.135244,13.34283)",,1,,,,,,,,,
Palermo,2018-04-11,23:30,VIALE REGIONE SICILIANA S.E. ,"(38.089055,13.370761)",,1,,,,,,,,,
Palermo,2018-04-12,04:00,VIA NOTARBARTOLO EMANUELE ,"(38.132632,13.345988)",,,,,,,,,,,
Palermo,2018-03-28,02:30,VIALE DE GASPERI ALCIDE ,"(38.149916,13.334533)",,1,,,,,,,,,
Palermo,2018-04-12,08:25,VIA ROCCELLA GUSTAVO ,"(38.097736,13.349912)",,1,,,,,,,,,
Palermo,2018-04-09,18:00,VIA ALESSI GIUSEPPE ,"(38.140076,13.349853)",,,,,,,,,,,
Palermo,2018-04-01,03:30,VIALE STRASBURGO ,"(38.150675,13.332405)",,,,,,,,,,,
Palermo,2018-04-06,11:45,VIALE LEONARDO DA VINCI ,"(38.128068,13.327196)",,,,,,,,,,,
Palermo,2018-04-12,10:00,PIAZZA EINSTEIN ALBERT ,"(38.128523,13.329757)",,2,,,,,,,,,
Palermo,2018-04-11,16:10,VIALE REGIONE SICILIANA S.E. ,"(38.096534,13.335985)",,,,,,,,,,,
Palermo,2018-04-06,11:15,VIA BONO SALVATORE ,"(38.141826,13.349693)",,,,,,,,,,,
Palermo,2018-04-10,19:00,VIA NOTARBARTOLO EMANUELE ,"(38.13362,13.349536)",,,,,,,,,,,
Palermo,2018-04-11,06:00,VIA MESSINA MARINE ,"(38.105603,13.388082)",,,,,,,,,,,
Palermo,2018-04-12,08:00,STRADALE BELLOLAMPO KM.,"(38.13744,13.276159)",,,,,,,,,,,
Palermo,2018-04-08,17:00,VIALE MARGHERITA DI SAVOIA ,"(38.196356,13.33176)",,,,,,,,,,,
Palermo,2018-04-12,14:25,PIAZZA CAPONNETTO ANTONINO ,"(38.135599,13.357652)",,1,,,,,,,,,
Palermo,2018-04-12,15:00,VIALE LAZIO ,"(38.141148,13.335053)",,1,,,,,,,,,
Palermo,2018-04-09,17:00,STRADA PROV. PALERMO,"(38.078678,13.303359)",,1,,,,,,,,,
Palermo,2018-04-12,17:45,CORSO CALATAFIMI ,"(38.10552,13.336121)",,1,,,,,,,,,
Palermo,2018-04-12,20:25,VIALE STRASBURGO ,"(38.156705,13.325499)",,1,,,,,,,,,
Palermo,2018-04-12,20:50,VIA DI MARCO VINCENZO ,"(38.135473,13.350384)",,1,,,,,,,,,
Palermo,2018-04-12,20:30,VIA CIACULLI ,"(38.080262,13.399483)",,,,,,,,,,,
Palermo,2018-04-13,02:10,VIALE MICHELANGELO ,"(38.139046,13.326999)",,1,,,,,,,,,
Palermo,2018-04-12,17:20,PIAZZA GIOVANNI PAOLO II PAPA ,"(38.151252,13.338394)",,2,,,,,,,,,
Palermo,2018-02-15,13:15,VIA GIORDANO UMBERTO ,"(38.137563,13.338485)",,,,,,,,,,,
Palermo,2018-04-13,08:30,VIA TERRASANTA ,"(38.128085,13.345863)",,,,,,,,,,,
Palermo,2018-04-13,10:40,VIA LODATO GAETANO ,"(38.10501,13.358724)",,1,,,,,,,,,
Palermo,2018-04-13,11:30,VIALE DIANA ,"(38.151882,13.350019)",,2,,,,,,,,,
Palermo,2018-04-13,13:20,VIA ORETO ,"(38.108288,13.3661)",,1,,,,,,,,,
Palermo,2018-03-30,19:00,VIA ARGENTERIA ,"(38.117562,13.363971)",,,,,,,,,,,
Palermo,2018-04-13,13:40,VIA CALA ,"(38.119428,13.369145)",,1,,,,,,,,,
Palermo,2018-04-14,02:15,FORO UMBERTO I ,"(38.116669,13.373948)",,3,,,,,,,,,
Palermo,2018-04-13,22:00,VIA MELI GIOVANNI ,"(38.119413,13.365082)",,1,,,,,,,,,
Palermo,2018-04-14,04:15,VIA BERNINI GIAN LORENZO ,"(38.133331,13.325273)",,1,,,,,,,,,
Palermo,2018-04-14,05:00,VIA CRISPI FRANCESCO ,"(38.127005,13.362377)",,,,,,,,,,,
Palermo,2018-04-14,14:30,VIA PARTANNA MONDELLO ,"(38.192375,13.301473)",,3,,,,,,,,,
Palermo,2018-04-14,16:00,VIA LINCOLN ,"(38.112408,13.370501)",,1,,,,,,,,,
Palermo,2018-04-14,20:15,VIA ROMA ,"(38.118464,13.362528)",,1,,,,,,,,,
Palermo,2018-04-14,23:45,PIAZZA VITTORIO VENETO ,"(38.145385,13.342157)",,1,,,,,,,,,
Palermo,2018-04-15,00:30,VIA PATERNOSTRO ALESSANDRO ,"(38.123048,13.352921)",,2,,,,,,,,,
Palermo,2018-04-15,10:00,VIA DEL VESPRO ,"(38.105283,13.362726)",,1,,,,,,,,,
Palermo,2018-04-15,15:15,CORSO DEI MILLE ,"(38.106216,13.372853)",,,,,,,,,,,
Palermo,2018-04-15,17:00,VIA CONTE FEDERICO ,"(38.084227,13.400871)",,,,,,,,,,,
Palermo,2018-04-15,21:30,VIA ROMA ,"(38.120207,13.361494)",,2,,,,,,,,,
Palermo,2018-04-15,12:50,VIA DUCA DELLA VERDURA ,"(38.133682,13.349492)",,,,,,,,,,,
Palermo,2018-04-16,09:40,VIALE REGIONE SICILIANA S.E. ,"(38.089383,13.38468)",,1,,,,,,,,,
Palermo,2018-04-15,20:40,VIA DIAZ ARMANDO M.LLO ,"(38.102304,13.394423)",,,,,,,,,,,
Palermo,2018-04-16,11:30,VIA NEBRODI,"(38.151823,13.327577)",,1,,,,,,,,,
Palermo,2018-04-16,16:10,VIA MATTARELLA PIERSANTI ,"(38.131932,13.346771)",,1,,,,,,,,,
Palermo,2018-04-16,20:40,CORSO CALATAFIMI ,"(38.09823,13.317823)",,1,,,,,,,,,
Palermo,2018-04-16,21:00,VIA UDITORE ,"(38.129723,13.32572)",,2,,,,,,,,,
Palermo,2018-04-16,08:45,VIA GIORDANO ALFONSO ,"(38.106336,13.359059)",,1,,,,,,,,,
Palermo,2018-03-29,19:50,STRADELLA CARTIERA GRANDE ,"(38.078174,13.309456)",,,,,,,,,,,
Palermo,2018-04-17,08:50,VIA TASCA LANZA ,"(38.110582,13.329419)",,,,,,,,,,,
Palermo,2018-04-17,09:45,FORO UMBERTO I ,"(38.119648,13.371328)",,1,,,,,,,,,
Palermo,2018-04-14,05:30,VIALE REGIONE SICILIANA S.E. ,"(38.091222,13.375289)",,,,,,,,,,,
Palermo,2018-04-16,03:30,VIA DANTE ,"(38.123677,13.350528)",,,,,,,,,,,
Palermo,2018-04-16,11:45,VIA OBERDAN GUGLIELMO ,"(38.119355,13.342869)",,,,,,,,,,,
Palermo,2018-04-16,21:15,VIA CASTELFORTE ,"(38.173038,13.327039)",,1,,,,,,,,,
Palermo,2018-04-17,12:10,PIAZZA TOMMASO NATALE ,"(38.189709,13.285931)",,2,,,,,,,,,
Palermo,2018-04-13,14:45,PIAZZA EINSTEIN ALBERT ,"(38.128716,13.330084)",,,,,,,,,,,
Palermo,2018-04-17,14:20,VIA MADONIA VINCENZO ,"(38.098746,13.354866)",,2,,,,,,,,,
Palermo,2018-04-17,15:45,VIA TRICOMI ERNESTO ,"(38.101562,13.356797)",,1,,,,,,,,,
Palermo,2018-04-17,19:25,VIA VILLAGRAZIA ,"(38.095193,13.363392)",,1,,,,,,,,,
Palermo,2018-04-17,20:40,VIALE REGIONE SICILIANA N.O. ,"(38.119359,13.328569)",,,,,,,,,,,
Palermo,2018-04-17,12:00,PIAZZA GIULIO CESARE ,"(38.109909,13.367341)",,,,,,,,,,,
Palermo,2018-04-18,08:00,VIA NOCE ,"(38.120607,13.336775)",,1,,,,,,,,,
Palermo,2018-04-18,08:35,CORSO CALATAFIMI ,"(38.110677,13.348803)",,1,,,,,,,,,
Palermo,2018-04-18,10:00,VIALE REGIONE SICILIANA N.O. ,"(38.122396,13.328944)",,1,,,,,,,,,
Palermo,2018-04-18,08:50,VIALE GALILEO GALILEI ,"(38.134981,13.333146)",,1,,,,,,,,,
Palermo,2018-04-18,14:45,VIA GIUFFRE' LIBORIO ,"(38.106378,13.360974)",,1,,,,,,,,,
Palermo,2018-04-18,17:00,VIA CILEA FRANCESCO ,"(38.137908,13.336436)",,,,,,,,,,,
Palermo,2018-04-17,11:00,VIA BORREMANS GUGLIELMO ,"(38.132606,13.334017)",,,,,,,,,,,
Palermo,2018-04-18,17:00,VIALE STRASBURGO ,"(38.161253,13.322102)",,1,,,,,,,,,
Palermo,2018-04-18,19:15,VIA RIZZO AMMIRAGLIO ,"(38.143871,13.360699)",,1,,,,,,,,,
Palermo,2018-04-19,00:45,VIA CALA ,"(38.121058,13.365895)",,,,,,,,,,,
Palermo,2018-04-19,02:45,FORO UMBERTO I ,"(38.115224,13.376158)",,2,,,,,,,,,
Palermo,2018-04-19,08:40,VIALE STRASBURGO ,"(38.15774,13.325869)",,2,,,,,,,,,
Palermo,2018-04-19,09:35,VIA ARCHIMEDE ,"(38.128584,13.354004)",,1,,,,,,,,,
Palermo,2018-04-19,08:15,VIA DANTE ,"(38.123017,13.347055)",,,,,,,,,,,
Palermo,2018-04-16,13:30,VIA NOTARBARTOLO EMANUELE ,"(38.132313,13.34426)",,1,,,,,,,,,
Palermo,2018-04-19,11:20,VIA PRINCIPE DI VILLAFRANCA ,"(38.128119,13.350038)",,1,,,,,,,,,
Palermo,2018-04-19,11:30,SVINCOLO DI SALVO ROSARIO ,"(38.149179,13.326537)",,1,,,,,,,,,
Palermo,2018-04-19,08:35,VIA ALTOFONTE ,"(38.092145,13.3338)",,1,,,,,,,,,
Palermo,2018-04-19,14:30,CORSO ALBERTO AMEDEO ,"(38.112414,13.351891)",,1,,,,,,,,,
Palermo,2018-04-19,14:20,VIA ROMA ,"(38.123114,13.360178)",,1,,,,,,,,,
Palermo,2018-04-19,17:00,VIA LA MALFA UGO ,"(38.162792,13.313681)",,,,,,,,,,,
Palermo,2018-04-19,21:30,VIALE LAZIO ,"(38.142374,13.339032)",,1,,,,,,,,,
Palermo,2018-04-20,07:10,VIA DELL'ARSENALE ,"(38.134996,13.361547)",,3,,,,,,,,,
Palermo,2018-04-20,09:00,VIA MONTE S.CALOGERO ,"(38.153863,13.324727)",,1,,,,,,,,,
Palermo,2018-04-20,11:00,VIA SCIUTI GIUSEPPE ,"(38.134024,13.341989)",,1,,,,,,,,,
Palermo,2018-04-20,12:20,VIALE REGIONE SICILIANA ,"(38.124934,13.32913)",,1,,,,,,,,,
Palermo,2018-04-20,16:25,VIA AUSTRIA ,"(38.19083,13.340011)",,1,,,,,,,,,
Palermo,2018-04-20,16:20,VIA CALVI PASQUALE ,"(38.13013,13.355002)",,1,,,,,,,,,
Palermo,2018-04-20,17:15,VIA SETTIMO RUGGERO ,"(38.121708,13.357231)",,1,,,,,,,,,
Palermo,2018-04-20,18:50,VIA BERNINI GIAN LORENZO ,"(38.13172,13.32985)",,2,,,,,,,,,
Palermo,2018-04-20,20:30,VIA BUTERA ANDREA ,"(38.143404,13.341887)",,1,,,,,,,,,
Palermo,2018-04-20,23:30,VIA SAMMARTINO ,"(38.12336,13.350983)",,1,,,,,,,,,
Palermo,2018-04-21,14:30,VIA TOSCANA ,"(38.145104,13.33883)",,1,,,,,,,,,
Palermo,2018-04-21,14:45,VIA DEGLI EMIRI ,"(38.115119,13.332042)",,1,,,,,,,,,
Palermo,2018-04-22,08:30,VIA LANZA DI SCALEA GIUSEPPE ,"(38.185293,13.302582)",,1,,,,,,,,,
Palermo,2018-04-22,09:30,VIA CADORNA LUIGI GEN. ,"(38.109942,13.356164)",,2,,,,,,,,,
Palermo,2018-04-22,16:40,VIA DI BLASI E. GIOVANNI ,"(38.125768,13.312871)",,,,,,,,,,,
Palermo,2018-04-22,21:40,VIA LA MALFA UGO ,"(38.162654,13.313807)",,,,,,,,,,,
Palermo,2018-04-22,04:00,VIA ARCHIMEDE ,"(38.129496,13.35671)",,1,,,,,,,,,
Palermo,2018-04-20,00:30,VIA SARULLO LUIGI ,"(38.123195,13.303703)",,1,,,,,,,,,
Palermo,2018-04-21,15:00,PIAZZA GIULIO CESARE ,"(38.110655,13.366398)",,1,,,,,,,,,
Palermo,2018-04-21,18:30,VIA TOSELLI PIETRO MAGG. ,"(38.136333,13.35228)",,1,,,,,,,,,
Palermo,2018-04-22,12:00,VIA BELMONTE ,"(38.145061,13.369468)",,1,,,,,,,,,
Palermo,2018-04-22,12:00,VIA BARI ,"(38.118093,13.361858)",,,,,,,,,,,
Palermo,2018-04-22,20:10,VIA VILLA FILIPPINA ,"(38.120717,13.352913)",,,,,,,,,,,
Palermo,2018-04-10,17:20,VIALE CAMPANIA ,"(38.143274,13.340545)",,,,,,,,,,,
Palermo,2018-04-12,10:00,VIA TIRO A SEGNO ,"(38.112889,13.377821)",,1,,,,,,,,,
Palermo,2018-04-23,12:00,VIALE REGIONE SICILIANA N.O. ,"(38.145704,13.328904)",,1,,,,,,,,,
Palermo,2018-04-23,14:30,VIALE REGIONE SICILIANA N.O. ,"(38.122066,13.329267)",,1,,,,,,,,,
Palermo,2018-04-23,13:05,VIA PERPIGNANO ,"(38.118931,13.332993)",,1,,,,,,,,,
Palermo,2018-04-23,15:00,PIAZZA DON BOSCO ,"(38.144097,13.343972)",,1,,,,,,,,,
Palermo,2018-04-23,17:00,VIA CATANIA ,"(38.12811,13.350017)",,2,,,,,,,,,
Palermo,2018-04-16,19:00,VIA BASILE GIOVANBATTISTA F. ,"(38.124603,13.348924)",,2,,,,,,,,,
Palermo,2018-04-17,16:45,VIA TRANCHINA GIUSEPPE ,"(38.162673,13.315503)",,1,,,,,,,,,
Palermo,2018-04-24,09:35,VIALE REGIONE SICILIANA S.E. ,"(38.090018,13.383185)",,,,,,,,,,,
Palermo,2018-04-17,16:15,VIA DUCA DELLA VERDURA ,"(38.133874,13.350528)",,2,,,,,,,,,
Palermo,2018-04-18,08:25,VIA VITTORIO EMANUELE ,"(38.113406,13.355832)",,1,,,,,,,,,
Palermo,2018-04-19,13:40,VIALE MICHELANGELO ,"(38.133735,13.311182)",,1,,,,,,,,,
Palermo,2018-04-24,09:45,VIA CRISPI FRANCESCO ,"(38.124613,13.36386)",,1,,,,,,,,,
Palermo,2018-04-20,09:40,VIA VALVERDE ,"(38.12047,13.36269)",,,,,,,,,,,
Palermo,2018-04-23,19:25,VIALE REGIONE SICILIANA N.O. ,"(38.110361,13.329612)",,1,,,,,,,,,
Palermo,2018-04-24,13:40,VIA PAZIENZA ,"(38.20013,13.318204)",,,,,,,,,,,
Palermo,2018-04-24,14:30,VIA DELLE CROCI ,"(38.131395,13.3541)",,1,,,,,,,,,
Palermo,2018-04-16,08:35,VIA XX SETTEMBRE ,"(38.1271,13.35232)",,,,,,,,,,,
Palermo,2018-04-20,11:00,VIA STABILE MARIANO ,"(38.122377,13.355908)",,1,,,,,,,,,
Palermo,2018-04-24,15:15,VIA RIZZOTTO PLACIDO ,"(38.094272,13.377213)",,1,,,,,,,,,
Palermo,2018-04-24,16:20,VIALE ERCOLE ,"(38.163317,13.33918)",,1,,,,,,,,,
Palermo,2018-04-24,18:00,VIALE CAMPANIA ,"(38.143906,13.339891)",,,,,,,,,,,
Palermo,2018-04-24,17:10,VIA CANTORE ANTONINO GEN. ,"(38.126679,13.344211)",,3,,,,,,,,,
Palermo,2018-04-20,17:05,VIA FILICIUZZA ,"(38.10813,13.356467)",,1,,,,,,,,,
Palermo,2018-04-25,20:30,VIA BACH JOHANN SEBASTIAN ,"(38.137565,13.301)",,1,,,,,,,,,
