ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
03520170512163077,Bergamo, VIA BORGO PALAZZO in corrispondenza del civico n.42,,,,"(45.6967, 9.6821)"
03520170512130078,Bergamo, PIAZZALE MARCONI GUGLIELMO all'intersezione con VIA BONO B.,,,,"(45.6916, 9.6755)"
03520170511155079,Bergamo, VIA GALIMBERTI in corrispondenza del civico n.10,,,,"(45.7106, 9.69)"
03520170511125580,Bergamo, IV NOVEMBRE in corrispondenza del civico n.77,,,,"(45.6936, 9.6543)"
03520170510100081,Bergamo, VIALE DELLE MURA palo illuminazione n.50,,,,"(45.7022, 9.6653)"
03520170510130582,Bergamo, VIA DELLE VALLI all'intersezione con Circonvallazione delle Valli,,,,"(45.696, 9.694)"
03520170510082083,Bergamo, Via Bergamo in prossimità della rotatoria,,,,"(45.6567, 9.656)"
03520170510102084,Bergamo, VIA BORGO PALAZZO in corrispondenza del civico n.193,,,,"(45.6909, 9.7017)"
03520170509123085,Bergamo, VIA CAMOZZI G. in prossimità del civico n.62,,,,"(45.6954, 9.6732)"
03520170508224086,Bergamo, VIA BATTISTI C. in corrispondenza del civico n.5,,,,"(45.7033, 9.6778)"
03520170508075587,Bergamo, VIA PIGNOLO in prossimità del civico n.101/A,,,,"(45.702, 9.6728)"
03520170508084588,Bergamo, VIA SAN BERNARDINO in prossimità del civico n.142/A,,,,"(45.6749, 9.661)"
03520170508140089,Bergamo, VIA MORONI GIANBATTISTA in corrispondenza del civico n.233,,,,"(45.6875, 9.6594)"
03520170508153090,Bergamo, VIA SAN BERNARDINO in corrispondenza del civico n.135,,,,"(45.6797, 9.6617)"
03520170508083591,Bergamo, VIALE PAPA GIOVANNI XXIII edicola,,,,"(45.6922, 9.6729)"
03520170508164592,Bergamo, VIA DELLA GRUMELLINA in prossimità del civico n.8,,,,"(45.6772, 9.6494)"
03520170508101593,Bergamo, VIA CARDUCCI G. interno parcheggio Auchan,,,,"(45.6891, 9.6543)"
03520170508091094,Bergamo, VIA LOCATELLI all'intersezione con VIA BRIGATA LUPI,,,,"(45.6991, 9.6678)"
03520171218215095,Bergamo, V.LE GIULIO CESARE all'intersezione con VIA BUTTARO,,,,"(45.7127, 9.6858)"
03520171218153596,Bergamo, VIA ROSMINI A. in corrispondenza del civico n.L.O. 8,,,,"(45.6997, 9.6588)"
03520171218134097,Bergamo, VIA GRUMELLO all'intersezione con VIA GOLTARA,,,,"(45.67, 9.6391)"
03520171218164598,Bergamo, VIA BORFURO in prossimità del civico n.15,,,,"(45.6951, 9.6649)"
03520171217182099,Bergamo, VIA XXIV MAGGIO in prossimità del civico n.2/A,,,,"(45.6979, 9.6546)"
035201712172000100,Bergamo, VIA CARNOVALI all'intersezione semaforizzata con AUTOSTRADA,,,,"(45.6861, 9.6689)"
035201712161945101,Bergamo, VIA DON L. PALAZZOLO all'intersezione con VIA GREPPI,,,,"(45.6898, 9.6654)"
035201712161515102,Bergamo, VIA ISABELLO in corrispondenza del civico n.3,,,,"(45.6877, 9.6895)"
035201712160322103,Bergamo, VIA BONOMELLI G. in prossimità del civico n.1,,,,"(45.6909, 9.674)"
035201712160755104,Bergamo, VIALE DELLE MURA prossimità laterale sinistra vicolo bettami,,,,"(45.7028, 9.6605)"
035201712151230105,Bergamo, VIA MATTIOLI all'intersezione con VIA PIZZIGONI,,,,"(45.6937, 9.6318)"
035201712151140106,Bergamo, VIA SAN GIORGIO all'intersezione semaforizzata con AUTOSTRADA,,,,"(45.6879, 9.6674)"
