ID,Modello,Targa,Tipo veicolo
3669170,Autovettura privata,,
3669170,Autovettura privata,,
3669183,Autovettura privata,,
3669183,Autovettura privata,,
3669200,Autovettura privata,,
3669200,Autovettura privata,,
3669201,Autovettura privata,,
3669204,Autovettura pubblica,,
3669204,Autovettura pubblica,,
3669204,Autovettura pubblica,,
3669204,Autovettura pubblica,,
3669204,Autovettura privata,,
3669211,Autovettura privata,,
3669211,Autovettura privata,,
3669211,Autovettura privata,,
3669211,Autovettura privata,,
3669211,Autovettura privata,,
3669234,Autovettura privata,,
3669234,Autovettura privata,,
3669234,Autovettura privata,,
3669257,Autovettura privata,,
3669257,Autovettura privata,,
3669265,Autovettura privata,,
3669265,Autovettura privata,,
3669265,Autovettura privata,,
3669276,Autovettura privata,,
3669277,Autovettura privata,,
3669277,Motociclo con passeggero,,
3669277,Motociclo con passeggero,,
3669301,Autovettura privata,,
3669301,Autovettura privata,,
3669301,Autovettura privata,,
3669301,Autovettura privata,,
3669330,Autovettura privata,,
3669330,Autovettura privata,,
3669330,Autovettura privata,,
3669330,Autovettura privata,,
3669651,Autovettura privata,,
3669651,Autovettura privata,,
3669651,Autovettura privata,,
3669651,Autovettura privata,,
3669651,Autovettura privata,,
3669661,Autovettura privata,,
3669674,Autovettura privata,,
3669674,Autovettura privata,,
3669676,Autovettura privata,,
3669676,Autovettura privata,,
3669678,Macchina operatrice,,
3669679,Autovettura privata,,
3669679,Autovettura privata,,
3669698,Autovettura privata,,
3669702,Autovettura privata,,
3669702,Autovettura privata,,
3669702,Autovettura privata,,
3669704,Autovettura privata,,
3669712,Motociclo con passeggero,,
3669712,Motociclo con passeggero,,
3669712,Autovettura privata,,
3669712,Autovettura privata,,
3669713,Autovettura privata,,
3669713,Autovettura privata,,
3669716,Autovettura privata,,
3669717,Autovettura privata,,
3669717,Autovettura privata,,
3669719,Autovettura privata,,
3669719,Autovettura privata,,
3669728,,,
3669728,,,
3669728,Autovettura privata,,
3669728,Autovettura privata,,
3669731,Autovettura privata,,
3669731,Autobus di linea,,
3669736,Autovettura privata,,
3669736,Autovettura privata,,
3669736,Autovettura privata,,
3669736,Autovettura privata,,
3669751,Autovettura privata,,
3669751,Autoarticolato,,
3669755,,,
3669755,Autovettura di polizia,,
3669760,Autovettura privata,,
3669760,Autovettura privata,,
3669761,Autocarro inferiore 35 q.,,
3669761,Autovettura privata,,
3669769,Autovettura privata,,
3669769,Autocarro inferiore 35 q.,,
3669777,Autovettura privata,,
3669778,Autovettura privata,,
3669778,Autovettura privata,,
3669778,Autovettura privata,,
3669787,,,
3669787,Autovettura privata,,
3669789,Autovettura privata,,
3669793,Autovettura privata,,
3669793,Autovettura pubblica,,
3669795,,,
3669795,Autovettura privata,,
3669796,Autovettura privata,,
3669796,Autovettura privata,,
3669797,Motociclo con passeggero,,
3669797,Motociclo con passeggero,,
3669797,Autovettura privata,,
3669797,Autovettura privata,,
3669797,Autovettura privata,,
3669799,,,
3669799,Autovettura privata,,
3669801,Autovettura privata,,
3669801,Autovettura privata,,
3669801,Autovettura privata,,
3669803,Autovettura privata,,
3669804,Autovettura privata,,
3669804,Motociclo a solo,,
3669812,Autobus turistico,,
3669812,Autobus turistico,,
3669812,Autovettura privata,,
3669818,Autocarro inferiore 35 q.,,
3669818,Autovettura di soccorso,,
3669822,Autovettura privata,,
3669823,Autovettura privata,,
3669828,Autovettura privata,,
3669828,Autovettura privata,,
3669828,Autovettura privata,,
3669829,Velocipede,,
3669829,Autovettura privata,,
3669832,Motociclo a solo,,
3669832,Autovettura privata,,
3669832,Autovettura privata,,
3669835,,,
3669835,Autovettura privata,,
3669838,Autovettura privata,,
3669838,Autovettura privata,,
3669838,Autovettura privata,,
3669838,Autovettura privata,,
3669838,Autovettura privata,,
3669839,Autovettura privata,,
3669839,Autovettura privata,,
3669840,Autovettura privata,,
3669840,Autovettura privata,,
3669840,Autovettura privata,,
3669841,Autovettura privata,,
3669841,Motociclo a solo,,
3669844,Autovettura privata,,
3669845,Autovettura privata,,
3669845,Autovettura privata,,
3669845,Autovettura privata,,
3669849,Autovettura privata,,
3669849,Autovettura privata,,
3669849,Autovettura privata,,
3669849,Autovettura privata,,
3669849,Autovettura privata,,
3669850,Autovettura privata,,
3669851,Autovettura privata,,
3669851,Autovettura privata,,
3669851,Autovettura privata,,
3669852,Motociclo a solo,,
3669852,Autovettura privata,,
3669852,Autovettura privata,,
3669852,Autovettura privata,,
3669856,Autovettura privata,,
3669856,Autovettura privata,,
3669859,,,
3669859,Autovettura privata,,
3669864,Autovettura privata,,
3669864,Autovettura privata,,
3669864,Autovettura privata,,
3669878,Autovettura privata,,
3669878,Autovettura privata,,
3669878,Autovettura privata,,
3669896,Autovettura privata,,
3669896,Autovettura privata,,
3669905,Autovettura privata,,
3669905,Autovettura privata,,
3669914,Autovettura privata,,
3669914,Autovettura privata,,
3669919,Motociclo a solo,,
3669919,Autovettura privata,,
3669925,Autovettura privata,,
3669925,Autovettura privata,,
3669929,Autovettura privata,,
3669929,Autovettura privata,,
3669936,Autovettura privata,,
3669937,Autovettura privata,,
3669937,Quadriciclo leggero,,
3669937,Quadriciclo leggero,,
3669937,Autovettura privata,,
3669938,Autovettura privata,,
3669938,Autovettura privata,,
3669938,Autovettura privata,,
3669938,Autovettura privata,,
3669940,Autovettura privata,,
3669946,,,
3669946,Autovettura privata,,
3669948,Autovettura privata,,
3669948,Autovettura privata,,
3669948,Autovettura privata,,
3669949,,,
3669949,Motociclo con passeggero,,
3669949,Motociclo con passeggero,,
3669950,Autovettura privata,,
3669950,Autovettura privata,,
3669950,Autovettura privata,,
3669950,Autovettura privata,,
3669950,Autovettura privata,,
3669950,Autovettura privata,,
3669960,Autovettura privata,,
3669975,Autovettura privata,,
3669975,Autovettura privata,,
3669975,Autovettura privata,,
3669975,Autovettura privata,,
3669975,Autovettura privata,,
3669975,Autovettura privata,,
3669975,Autovettura privata,,
3669975,Autovettura privata,,
3669981,Autovettura privata,,
3669981,Autovettura privata,,
3669985,Autovettura privata,,
3669985,Autovettura privata,,
3669985,Autovettura privata,,
3669987,Autovettura privata,,
3669991,Autovettura privata,,
3669991,Autovettura privata,,
3670004,Autovettura privata,,
3670004,Autovettura privata,,
3670004,Autovettura privata,,
3670027,Autovettura privata,,
3670027,Autovettura privata,,
3670027,Autovettura privata,,
3670027,Autovettura privata,,
3670027,Autovettura privata,,
3670027,Autovettura privata,,
3670027,Autovettura privata,,
3670027,Autovettura privata,,
