ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione
3759582,Roma,VIA CASSIA,Asciutto,Asfaltata,Sufficiente
3759583,Roma,VIA DI BOCCEA,Viscido da liquidi oleosi,Asfaltata,Ore Diurne
3759583,Roma,VIA DI BOCCEA,Viscido da liquidi oleosi,Asfaltata,Ore Diurne
3759587,Roma,VIALE DI CASTEL PORZIANO,Asciutto,Asfaltata,Ore Diurne
3759587,Roma,VIALE DI CASTEL PORZIANO,Asciutto,Asfaltata,Ore Diurne
3759587,Roma,VIALE DI CASTEL PORZIANO,Asciutto,Asfaltata,Ore Diurne
3759588,Roma,VIA MAGNANO IN RIVIERA,Asciutto,Asfaltata,Ore Diurne
3759588,Roma,VIA MAGNANO IN RIVIERA,Asciutto,Asfaltata,Ore Diurne
3759602,Roma,VIA MARZIALE,Asciutto,Asfaltata,Sufficiente
3759602,Roma,VIA MARZIALE,Asciutto,Asfaltata,Sufficiente
3759602,Roma,VIA MARZIALE,Asciutto,Asfaltata,Sufficiente
3759608,Roma,VIA DELLA TENUTA DI TORRENOVA,,,
3759613,Roma,VIA DI LUNGHEZZINA,Asciutto,Asfaltata,Ore Diurne
3759613,Roma,VIA DI LUNGHEZZINA,Asciutto,Asfaltata,Ore Diurne
3759613,Roma,VIA DI LUNGHEZZINA,Asciutto,Asfaltata,Ore Diurne
3759613,Roma,VIA DI LUNGHEZZINA,Asciutto,Asfaltata,Ore Diurne
3759613,Roma,VIA DI LUNGHEZZINA,Asciutto,Asfaltata,Ore Diurne
3759614,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3759614,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3759614,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3759614,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3759614,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3759614,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3759618,Roma,VIA CASILINA,Asciutto,Con buche,Sufficiente
3759621,Roma,VIA DI TOR BELLA MONACA,Asciutto,Asfaltata,Sufficiente
3759623,Roma,VIA DI VALLE MURICANA,Asciutto,Asfaltata,Ore Diurne
3759623,Roma,VIA DI VALLE MURICANA,Asciutto,Asfaltata,Ore Diurne
3759623,Roma,VIA DI VALLE MURICANA,Asciutto,Asfaltata,Ore Diurne
3759623,Roma,VIA DI VALLE MURICANA,Asciutto,Asfaltata,Ore Diurne
3759623,Roma,VIA DI VALLE MURICANA,Asciutto,Asfaltata,Ore Diurne
