ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803208,Roma,VIA ACQUI,Asciutto,Asfaltata,Ore Diurne,"(12.51633,41.87793)"
3803208,Roma,VIA ACQUI,Asciutto,Asfaltata,Ore Diurne,"(12.51633,41.87793)"
3803210,Roma,CIRCONVALLAZIONE SALARIA,Asciutto,Asfaltata,Ore Diurne,"(12.52092,41.93437)"
3803221,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Sufficiente,"(12.61676,41.89327)"
3803223,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(13.64966,41.53532)"
3803223,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(13.64966,41.53532)"
3803223,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(13.64966,41.53532)"
3803260,Roma,VIA GUSTAVO MODENA,Asciutto,In cubetti di porfido,Ore Diurne,"(12.47363,41.89008)"
3803260,Roma,VIA GUSTAVO MODENA,Asciutto,In cubetti di porfido,Ore Diurne,"(12.47363,41.89008)"
3803260,Roma,VIA GUSTAVO MODENA,Asciutto,In cubetti di porfido,Ore Diurne,"(12.47363,41.89008)"
3803260,Roma,VIA GUSTAVO MODENA,Asciutto,In cubetti di porfido,Ore Diurne,"(12.47363,41.89008)"
3803291,Roma,VIA DUILIO,Asciutto,Asfaltata,Ore Diurne,"(12.46404,41.91038)"
3803291,Roma,VIA DUILIO,Asciutto,Asfaltata,Ore Diurne,"(12.46404,41.91038)"
3803294,Roma,VIA DEI CICLAMINI,Asciutto,Asfaltata,Ore Diurne,"(12.56608,41.89243)"
3803305,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne,"(12.52792,41.8915)"
3803305,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne,"(12.52792,41.8915)"
3803305,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne,"(12.52792,41.8915)"
3803308,Roma,VIA NOMENTANA,Asciutto,Asfaltata,Sufficiente,"(12.57281,41.95789)"
3803311,Roma,PIAZZA DELL'ARA COELI,Bagnato (pioggia),In cubetti di porfido,Ore Diurne,"(12.48226,41.89407)"
3803311,Roma,PIAZZA DELL'ARA COELI,Bagnato (pioggia),In cubetti di porfido,Ore Diurne,"(12.48226,41.89407)"
3803322,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.62713,41.86324)"
3803322,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.62713,41.86324)"
3803322,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.62713,41.86324)"
3803322,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.62713,41.86324)"
3803325,Roma,VIA DEGLI ACERI,Asciutto,Asfaltata,Sufficiente,"(12.56901,41.87811)"
3803325,Roma,VIA DEGLI ACERI,Asciutto,Asfaltata,Sufficiente,"(12.56901,41.87811)"
3803325,Roma,VIA DEGLI ACERI,Asciutto,Asfaltata,Sufficiente,"(12.56901,41.87811)"
3803328,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.37036,41.75511)"
3803328,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.37036,41.75511)"
3803346,Roma,VIA BONAVENTURA CIAVAGLIA,Asciutto,Asfaltata,Ore Diurne,"(12.37514,41.78583)"
3803353,Roma,VIA DELL'AEROPORTO,Asciutto,Asfaltata,Ore Diurne,"(12.5552,41.86141)"
3803353,Roma,VIA DELL'AEROPORTO,Asciutto,Asfaltata,Ore Diurne,"(12.5552,41.86141)"
3803367,Roma,CORSO D'ITALIA,Asciutto,Asfaltata,Ore Diurne,"(12.49969,41.9104)"
3803367,Roma,CORSO D'ITALIA,Asciutto,Asfaltata,Ore Diurne,"(12.49969,41.9104)"
3803367,Roma,CORSO D'ITALIA,Asciutto,Asfaltata,Ore Diurne,"(12.49969,41.9104)"
3803402,Roma,PONTE CAVOUR,Asciutto,Acciotolata,Sufficiente,"(12.47439,41.90498)"
3803402,Roma,PONTE CAVOUR,Asciutto,Acciotolata,Sufficiente,"(12.47439,41.90498)"
3803404,Roma,VIA NAPOLEONE III,Asciutto,Asfaltata,Ore Diurne,"(12.49999,41.89807)"
3803404,Roma,VIA NAPOLEONE III,Asciutto,Asfaltata,Ore Diurne,"(12.49999,41.89807)"
3803404,Roma,VIA NAPOLEONE III,Asciutto,Asfaltata,Ore Diurne,"(12.49999,41.89807)"
3803440,Roma,VIA DEL MARE,Asciutto,Asfaltata,Sufficiente,"(12.46323,41.84026)"
3803440,Roma,VIA DEL MARE,Asciutto,Asfaltata,Sufficiente,"(12.46323,41.84026)"
3803440,Roma,VIA DEL MARE,Asciutto,Asfaltata,Sufficiente,"(12.46323,41.84026)"
3803465,Roma,VIALE DELLE TERME DI CARACALLA,Asciutto,Asfaltata,Ore Diurne,"(12.49047,41.88343)"
3803465,Roma,VIALE DELLE TERME DI CARACALLA,Asciutto,Asfaltata,Ore Diurne,"(12.49047,41.88343)"
3803465,Roma,VIALE DELLE TERME DI CARACALLA,Asciutto,Asfaltata,Ore Diurne,"(12.49047,41.88343)"
3803499,Roma,VIA MERULANA,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803499,Roma,VIA MERULANA,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803506,Roma,VIA DI PONTE GALERIA,Asciutto,Asfaltata,Ore Diurne,"(12.3358,41.842)"
3803506,Roma,VIA DI PONTE GALERIA,Asciutto,Asfaltata,Ore Diurne,"(12.3358,41.842)"
3803506,Roma,VIA DI PONTE GALERIA,Asciutto,Asfaltata,Ore Diurne,"(12.3358,41.842)"
3803532,Roma,VIA NOLA,Asciutto,Asfaltata,Sufficiente,"(12.51519,41.88687)"
3803532,Roma,VIA NOLA,Asciutto,Asfaltata,Sufficiente,"(12.51519,41.88687)"
3803532,Roma,VIA NOLA,Asciutto,Asfaltata,Sufficiente,"(12.51519,41.88687)"
3803559,Roma,VIA ACHILLE VERTUNNI,Asciutto,Asfaltata,Ore Diurne,"(12.61298,41.90956)"
3803559,Roma,VIA ACHILLE VERTUNNI,Asciutto,Asfaltata,Ore Diurne,"(12.61298,41.90956)"
3803578,Roma,VIA DI S. MARIA AUSILIATRICE,Asciutto,Asfaltata,Ore Diurne,"(12.5278,41.87274)"
3803578,Roma,VIA DI S. MARIA AUSILIATRICE,Asciutto,Asfaltata,Ore Diurne,"(12.5278,41.87274)"
3803676,Roma,PIAZZA DEI DECEMVIRI,Asciutto,Asfaltata,Ore Diurne,"(12.56769,41.85884)"
3803676,Roma,PIAZZA DEI DECEMVIRI,Asciutto,Asfaltata,Ore Diurne,"(12.56769,41.85884)"
3803676,Roma,PIAZZA DEI DECEMVIRI,Asciutto,Asfaltata,Ore Diurne,"(12.56769,41.85884)"
3803866,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Ore Diurne,"(12.45914,41.85017)"
3803866,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Ore Diurne,"(12.45914,41.85017)"
3803876,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Ore Diurne,"(12.41962,41.83172)"
3803876,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Ore Diurne,"(12.41962,41.83172)"
3803876,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Ore Diurne,"(12.41962,41.83172)"
3803876,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Ore Diurne,"(12.41962,41.83172)"
3803876,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Ore Diurne,"(12.41962,41.83172)"
3803920,Roma,VIA DI TORREVECCHIA,Asciutto,Asfaltata,Ore Diurne,"(12.39924,41.91095)"
3803920,Roma,VIA DI TORREVECCHIA,Asciutto,Asfaltata,Ore Diurne,"(12.39924,41.91095)"
3803920,Roma,VIA DI TORREVECCHIA,Asciutto,Asfaltata,Ore Diurne,"(12.39924,41.91095)"
3803920,Roma,VIA DI TORREVECCHIA,Asciutto,Asfaltata,Ore Diurne,"(12.39924,41.91095)"
3803959,Roma,VIALE DELL'AERONAUTICA,Asciutto,Asfaltata,Ore Diurne,"(12.47407,41.82626)"
3803959,Roma,VIALE DELL'AERONAUTICA,Asciutto,Asfaltata,Ore Diurne,"(12.47407,41.82626)"
3804033,Roma,VIADOTTO ATTICO TABACCHI,Asciutto,Asfaltata,Ore Diurne,"(12.28226,41.73745)"
3804033,Roma,VIADOTTO ATTICO TABACCHI,Asciutto,Asfaltata,Ore Diurne,"(12.28226,41.73745)"
3804056,Roma,VIA DRUSO,Asciutto,Asfaltata,Ore Diurne,"(12.49724,41.88123)"
3804056,Roma,VIA DRUSO,Asciutto,Asfaltata,Ore Diurne,"(12.49724,41.88123)"
3804056,Roma,VIA DRUSO,Asciutto,Asfaltata,Ore Diurne,"(12.49724,41.88123)"
3804093,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.49641,41.85829)"
3804093,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.49641,41.85829)"
3804093,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.49641,41.85829)"
3804098,Roma,VIA GUSTAVO MODENA,Asciutto,Acciotolata,Ore Diurne,"(12.47363,41.89008)"
3804098,Roma,VIA GUSTAVO MODENA,Asciutto,Acciotolata,Ore Diurne,"(12.47363,41.89008)"
3804131,Roma,VIA BERNARDINO ALIMENA,Asciutto,Asfaltata,Ore Diurne,"(12.60429,41.84729)"
3804131,Roma,VIA BERNARDINO ALIMENA,Asciutto,Asfaltata,Ore Diurne,"(12.60429,41.84729)"
3804181,Roma,VIA DEL TEMPIO,Asciutto,In cubetti di porfido,Ore Diurne,"(,)"
